                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.79197,                 1.0669,                 1.1647,                0.97621,                      1,                  0.995,                 0.6965,                 1.1571,                0.94651,                 1.1534,              0.0014139,              0.0014139,              0.0014139
                     87,                0.67794,                0.83458,                 1.0914,                0.97621,                      1,                  0.995,                 0.6965,                 1.1571,                0.94651,                 1.1534,              0.0014271,              0.0014271,              0.0014271
                     88,                0.66359,                0.83432,                  1.042,                0.98309,                      1,                  0.995,                  0.597,                 1.6376,                 1.1816,                 1.7822,              0.0014403,              0.0014403,              0.0014403
                     89,                0.77126,                0.71512,                 1.0478,                0.98309,                      1,                  0.995,                  0.597,                 1.6376,                 1.1816,                 1.7822,              0.0014533,              0.0014533,              0.0014533
                     90,                0.70448,                 0.7018,                 1.0914,                0.98309,                      1,                  0.995,                  0.597,                 1.6376,                 1.1816,                 1.7822,              0.0014663,              0.0014663,              0.0014663
                     91,                0.64522,                0.69641,                 1.0352,                0.98309,                      1,                  0.995,                  0.597,                 1.6376,                 1.1816,                 1.7822,              0.0014792,              0.0014792,              0.0014792
                     92,                0.69683,                0.88382,                 1.1219,                      1,                 0.9017,                  0.995,                0.84559,                0.73748,                 1.1588,                0.87702,              0.0014921,              0.0014921,              0.0014921
                     93,                0.62627,                0.75901,                 1.0576,                      1,                 0.9017,                  0.995,                0.84559,                0.73748,                 1.1588,                0.87702,              0.0015048,              0.0015048,              0.0015048
                     94,                  0.653,                0.73848,                 1.0773,                      1,                 0.9017,                  0.995,                0.84559,                0.73748,                 1.1588,                0.87702,              0.0015175,              0.0015175,              0.0015175
                     95,                0.67044,                0.77161,                 1.0834,                      1,                 0.9017,                  0.995,                0.84559,                0.73748,                 1.1588,                0.87702,              0.0015301,              0.0015301,              0.0015301
                     96,                0.59984,                0.70524,                0.99362,                0.95382,                      1,                  0.995,                0.79567,                0.84503,                 1.0833,                0.84614,              0.0015426,              0.0015426,              0.0015426
                     97,                0.59604,                0.70373,                 1.0431,                0.95382,                      1,                  0.995,                0.79567,                0.84503,                 1.0833,                0.84614,               0.001555,               0.001555,               0.001555
                     98,                0.69906,                0.86248,                 1.1378,                0.95382,                      1,                  0.995,                0.79567,                0.84503,                 1.0833,                0.84614,              0.0015674,              0.0015674,              0.0015674
                     99,                0.57671,                0.66242,                 1.0345,                0.95382,                      1,                  0.995,                0.79567,                0.84503,                 1.0833,                0.84614,              0.0015797,              0.0015797,              0.0015797
                    100,                0.61434,                0.71076,                 1.0384,                0.98986,                      1,                  0.995,                0.67151,                 1.2114,                0.92499,                0.96226,              0.0015919,              0.0015919,              0.0015919
                    101,                0.66542,                0.73066,                 1.0698,                0.98986,                      1,                  0.995,                0.67151,                 1.2114,                0.92499,                0.96226,               0.001604,               0.001604,               0.001604
                    102,                0.67568,                0.72503,                 1.0688,                0.98986,                      1,                  0.995,                0.67151,                 1.2114,                0.92499,                0.96226,                 0.0016,                 0.0016,                 0.0016
                    103,                 0.6214,                0.65685,                 1.0463,                0.98986,                      1,                  0.995,                0.67151,                 1.2114,                0.92499,                0.96226,              0.0015961,              0.0015961,              0.0015961
                    104,                0.56632,                0.67305,                0.97228,                0.96274,                      1,                  0.995,                0.59406,                 1.3415,                0.99115,                 1.0003,              0.0015921,              0.0015921,              0.0015921
                    105,                0.68902,                0.78024,                 1.0933,                0.96274,                      1,                  0.995,                0.59406,                 1.3415,                0.99115,                 1.0003,              0.0015882,              0.0015882,              0.0015882
                    106,                0.62177,                0.72672,                  1.043,                0.96274,                      1,                  0.995,                0.59406,                 1.3415,                0.99115,                 1.0003,              0.0015842,              0.0015842,              0.0015842
                    107,                0.60172,                0.76837,                 1.0227,                0.96274,                      1,                  0.995,                0.59406,                 1.3415,                0.99115,                 1.0003,              0.0015802,              0.0015802,              0.0015802
                    108,                0.68577,                0.62721,                0.99742,                0.98056,                      1,                  0.995,                 0.6284,                 1.1365,                 0.7063,                0.96517,              0.0015763,              0.0015763,              0.0015763
                    109,                0.65007,                0.66895,                0.99321,                0.98056,                      1,                  0.995,                 0.6284,                 1.1365,                 0.7063,                0.96517,              0.0015723,              0.0015723,              0.0015723
                    110,                0.71436,                0.73923,                 1.0943,                0.98056,                      1,                  0.995,                 0.6284,                 1.1365,                 0.7063,                0.96517,              0.0015684,              0.0015684,              0.0015684
                    111,                0.63968,                0.70455,                 1.0108,                0.98056,                      1,                  0.995,                 0.6284,                 1.1365,                 0.7063,                0.96517,              0.0015644,              0.0015644,              0.0015644
                    112,                0.59466,                0.66175,                0.97832,                0.97976,                      1,                  0.995,                0.59777,                 1.7978,                 0.8002,                 1.7024,              0.0015604,              0.0015604,              0.0015604
                    113,                0.63102,                0.66621,                0.99211,                0.97976,                      1,                  0.995,                0.59777,                 1.7978,                 0.8002,                 1.7024,              0.0015565,              0.0015565,              0.0015565
                    114,                0.64195,                0.76237,                 1.0208,                0.97976,                      1,                  0.995,                0.59777,                 1.7978,                 0.8002,                 1.7024,              0.0015525,              0.0015525,              0.0015525
                    115,                0.68695,                0.72556,                0.98747,                0.97976,                      1,                  0.995,                0.59777,                 1.7978,                 0.8002,                 1.7024,              0.0015486,              0.0015486,              0.0015486
                    116,                0.64148,                0.68555,                0.99208,                0.98351,                      1,                  0.995,                  0.597,                 1.6714,                0.89264,                 1.7715,              0.0015446,              0.0015446,              0.0015446
                    117,                0.56122,                0.62925,                0.97658,                0.98351,                      1,                  0.995,                  0.597,                 1.6714,                0.89264,                 1.7715,              0.0015406,              0.0015406,              0.0015406
                    118,                0.57609,                0.62062,                  1.016,                0.98351,                      1,                  0.995,                  0.597,                 1.6714,                0.89264,                 1.7715,              0.0015367,              0.0015367,              0.0015367
                    119,                0.59071,                0.62841,                0.96456,                0.98351,                      1,                  0.995,                  0.597,                 1.6714,                0.89264,                 1.7715,              0.0015327,              0.0015327,              0.0015327
                    120,                0.74093,                0.74009,                 1.0983,                0.63421,                      1,                0.82833,                0.51358,                 1.3363,                 1.4313,                 1.2377,              0.0015288,              0.0015288,              0.0015288
